Probeset	slope	pval
11743593_at	-1.06166321992711	1.21516559415462e-10
11761703_s_at	-0.489186547897256	1.24466578444302e-10
11724271_a_at	1.6853238184458	1.27358897517431e-10
11745789_a_at	0.859148162321799	1.28165283277293e-10
11742924_a_at	-0.422046959018328	1.28421834019761e-10
11719562_at	1.12123982878887	1.32597899002299e-10
11751783_a_at	-0.851262398647005	1.34767748237435e-10
11733018_s_at	1.34940043344161	1.35830599804084e-10
11757044_x_at	1.12866068295888	1.3637037890026e-10
11752269_a_at	-2.67170932504778	1.36687738370224e-10
11717039_a_at	0.726663297853246	1.37865488791716e-10
11722053_a_at	-0.893396986975751	1.39545580275572e-10
11758627_s_at	0.785522178279036	1.40390529756516e-10
11717740_a_at	-0.788217239615865	1.42055129017586e-10
11751237_a_at	0.969248012571488	1.42282637045746e-10
11752588_s_at	-0.701588440975952	1.50611606497274e-10
11732996_at	-1.09669153053326	1.59391745158517e-10
11724282_a_at	-2.79726578043387	1.60320331963632e-10
11752840_a_at	-1.28167436564714	1.60669697268122e-10
11747457_x_at	-2.50476185978062	1.6561871596564e-10
11736477_a_at	-1.30239896736774	1.6578479286291e-10
11741396_s_at	1.46412438482827	1.68013564363134e-10
11758557_s_at	0.979651010389752	1.75264323042693e-10
11744908_a_at	1.10095271551324	1.79083058501212e-10
11749830_a_at	-0.733791157986546	1.81081420047385e-10
11723487_a_at	1.75947952362851	1.8719942981898e-10
11749039_x_at	1.31442382709423	1.87316367004942e-10
11715615_at	1.55889600461872	1.87525774802619e-10
11725003_s_at	0.820832090936724	1.89199984346871e-10
11727820_a_at	-0.651694126857073	1.94537089653025e-10
11755860_a_at	-0.769377993968136	1.95290761405546e-10
11746466_a_at	0.747979998653469	1.96873526792932e-10
11723711_at	0.822156881753445	2.03206139529367e-10
11743731_a_at	-0.906107306883985	2.03879734662473e-10
11755205_a_at	-0.815584606469049	2.1233003551171e-10
11736523_x_at	0.985228990166596	2.23056790638198e-10
11716094_a_at	1.36342534102888	2.29627512603066e-10
11726626_at	1.06215814168793	2.33273009927714e-10
11715650_a_at	-1.75832763841505	2.35596615453044e-10
11745506_s_at	0.823007587495083	2.37982872576769e-10
11753740_x_at	0.816464054305161	2.43243596907215e-10
11716294_a_at	-0.423260870764373	2.47758618904361e-10
11721070_a_at	-1.14924798085563	2.48658345457924e-10
11736378_at	0.46252270221016	2.50994609287268e-10
11719956_x_at	-0.823643259222059	2.51368536037076e-10
11746855_a_at	-0.589219370354724	2.5511172813699e-10
11728256_x_at	0.878692259726282	2.5554001463725e-10
11719012_at	0.858743083000526	2.58040887988518e-10
11733946_at	0.73652000416734	2.58886828462837e-10
11724046_a_at	-1.01352007498456	2.59351605760463e-10
11716265_a_at	-0.387379955810265	2.5935916922721e-10
11725521_x_at	0.558859028166651	2.60163087905968e-10
11743682_s_at	1.30891935866418	2.60711732570587e-10
11757741_s_at	1.29685411341814	2.60881733307461e-10
11738030_s_at	0.667634581541278	2.66144192978932e-10
11741964_s_at	1.19892126860191	2.66513757168187e-10
11726189_x_at	0.973728733113124	2.67594541013104e-10
11757320_x_at	0.802046995321161	2.70543399200088e-10
11716822_a_at	1.01591798910335	2.73546112925658e-10
11719837_a_at	0.790586945551691	2.80340398957634e-10
11723490_at	-1.49137325397385	2.80347791111627e-10
11716710_a_at	2.29763956241097	2.82446242278427e-10
11732453_s_at	-2.84315068042845	2.83427801023123e-10
11715613_a_at	1.40104610411636	2.85835118418631e-10
11750889_x_at	0.873976624847044	2.88065742637867e-10
11725126_a_at	-0.470153034174895	2.91175663304047e-10
11718394_at	1.43938265994059	2.97161459438296e-10
11740518_a_at	0.755127591540076	3.08836499873977e-10
11724134_a_at	-0.799784035595645	3.11904080850095e-10
11717400_a_at	-0.736267621821914	3.13246697966384e-10
11717189_x_at	-0.567800600257427	3.13864668821235e-10
11737906_x_at	1.22077991858622	3.14918175331488e-10
11744371_s_at	1.08237152075606	3.17603376026699e-10
11716615_s_at	0.419770546387671	3.18307812385144e-10
11725705_a_at	1.02200030631949	3.19027152321882e-10
11758118_s_at	-0.604012239259331	3.19193520279e-10
11758216_s_at	0.749784144825181	3.2444879257773e-10
11748670_a_at	1.3764370283706	3.27287357068837e-10
11722564_at	0.572432186195778	3.30546848751861e-10
11715396_s_at	-0.354673292985864	3.32190944206309e-10
11717741_x_at	-0.736395707226605	3.33725966025252e-10
11753958_a_at	-0.453170242975858	3.5774301779743e-10
11739540_a_at	1.14631803495613	3.61004650629738e-10
11757476_x_at	0.956427750139226	3.64748533612565e-10
11751837_a_at	-0.551216551135192	3.67887462040771e-10
11750576_a_at	1.35229730965785	3.69804220133869e-10
11730795_at	-1.04946194318747	3.89880991152314e-10
11756622_a_at	-0.450161654434915	3.90924587997236e-10
11721206_x_at	1.08276819316415	3.96047568353335e-10
11721185_at	0.675512148660763	3.97049773090649e-10
11752128_a_at	-0.545158311530524	4.02371632812754e-10
11731751_at	-1.09193422847026	4.0287693323461e-10
11755876_a_at	-0.6880839667365	4.12164183575953e-10
11757564_x_at	-0.37671839486803	4.18946857108997e-10
11715890_x_at	-0.414150708097167	4.19081306234151e-10
