PROBEID	LowvsGlass_FC	LowvsGlass_pval
11717829_s_at	-1.835356883	5.68E-12
11741264_x_at	-2.332017114	5.74E-12
11757507_s_at	-2.699274425	5.88E-12
11756213_x_at	-1.901598373	5.94E-12
11736067_a_at	2.023835171	5.95E-12
11736244_s_at	1.862282452	6.01E-12
11747878_a_at	1.711484463	6.20E-12
11758780_a_at	1.727888458	6.32E-12
11730556_s_at	-1.882222376	6.34E-12
11729380_a_at	2.159319872	6.49E-12
11758660_s_at	-2.036343579	6.73E-12
11746466_a_at	-1.679439702	6.75E-12
11747104_s_at	1.997315819	6.77E-12
11734835_s_at	1.805969768	6.81E-12
11743161_x_at	-2.086809421	6.84E-12
11753362_a_at	-2.409166682	6.87E-12
11722053_a_at	1.857544776	6.91E-12
11715816_at	-3.30549083	6.95E-12
11750889_x_at	-1.832707595	7.08E-12
11721414_s_at	1.728546515	7.08E-12
11726272_a_at	-1.654443824	7.14E-12
11728896_a_at	1.753861245	7.16E-12
11733946_at	-1.66615198	7.38E-12
11758680_s_at	3.255114306	7.49E-12
11737479_a_at	1.808158101	7.56E-12
11717740_a_at	1.726939138	7.62E-12
11752486_a_at	2.84650574	7.67E-12
11757865_a_at	-3.434324389	7.82E-12
11743731_a_at	1.873982274	7.92E-12
11733856_s_at	-1.706568048	8.14E-12
11744969_a_at	-3.516737432	8.18E-12
11749896_a_at	2.077937297	8.44E-12
11744000_a_at	-2.138823681	8.48E-12
11739147_a_at	-2.270070566	8.76E-12
11736173_at	-2.193724501	8.76E-12
11733318_a_at	-2.016212182	8.84E-12
11719246_a_at	-1.981606301	9.03E-12
11753266_a_at	-1.761227263	9.12E-12
11755309_x_at	-1.905248682	9.26E-12
11716195_a_at	-1.809144974	9.28E-12
11758536_s_at	-2.009302317	9.40E-12
11732103_s_at	1.865223932	9.47E-12
11725544_a_at	-1.799914898	9.49E-12
11751783_a_at	1.804078854	9.55E-12
11726320_at	-2.446318339	9.58E-12
11754161_s_at	-1.76233104	1.00E-11
11744304_a_at	1.828105482	1.01E-11
11724134_a_at	1.740840512	1.03E-11
11731628_a_at	1.934832722	1.05E-11
