"Sample_CD122_negative 2"	"Sample_CD122_positive 2"
"Gsta3"	-4.97878794224898	-4.83103242003542
"Gm28836"	-4.8565812004128	-4.83103242003542
"Gm4956"	-1.57478082165306	6.41589539556323
"Gm16328"	-4.97878794224898	-0.0369042182369844
"Kcnq5"	4.33890168202427	2.57372110830396
"Gm7658"	-2.35247636096429	0.355492868124529
"Gm26580"	-2.63645367103463	2.40662931624255
"Ogfrl1"	7.32292147397812	4.10685996363524
"Smap1"	5.09793775918229	6.6390281038377
"1110058L19Rik"	4.69931794928203	5.19092141183025
"Fam135a"	1.61871290149991	-4.83103242003542
"Col19a1"	-4.97878794224898	-4.83103242003542
"Gm28439"	-4.81194978427833	-1.2332923023275
"Gm28438"	-4.83103242003542	-4.83103242003542
"Gm28437"	0.90026832004805	1.99732957145339
"Gm10925"	-0.973132429266259	1.46976291775246
"Gm28661"	-4.03482855442014	0.906530411881863
"Gm29216"	-4.67179373097715	0.740747858902427
"Lmbrd1"	4.77839995033379	5.17761007032392
"Gm7846"	0.779290714942791	2.25269030298431
"Gm5525"	-0.886941152525443	0.421009047892737
"Phf3"	6.05801986314651	6.36908371945438
"Ptp4a1"	6.5549171727835	5.5889150893554
"Gm10307"	-4.11946615198807	-2.63645367103463
"Prim2"	5.8423863388767	5.31847069643311
"Gm29228"	-4.11946615198807	-2.35247636096429
"RP24-423J19.1"	-4.97878794224898	-0.359067612848168
"Rab23"	-0.304956933671688	-4.83103242003542
"Bag2"	5.76700507638712	-0.781643734886421
"Zfp451"	6.10934018674839	5.58313771373621
"Bend6"	-4.79671259389965	2.52761853607452
"Dst"	-4.89536886326365	-4.83103242003542
"RP23-87D8.4"	-4.97878794224898	-4.83103242003542
"RP24-422C24.2"	-1.7545417296761	-4.83103242003542
"Gm3052"	-4.8565812004128	-4.83103242003542
"mmu-mir-5103"	-3.58457897497586	-4.83103242003542
"Ccdc115"	6.57121514158678	5.96768329328807
"Imp4"	7.229615492072	6.39658680912522
"Ptpn18"	5.66347873824646	6.7980800071076
"Gm28417"	0.506611389637083	1.01257726964037
"4930568A12Rik"	-3.32431177819357	-0.233348213005927
"Prss39"	-4.97878794224898	2.16915711034232
"Cfc1"	-4.97878794224898	-4.83103242003542
"Arhgef4"	1.97641247001074	4.35547724160283
"RP23-348C6.3"	-4.58077518307945	1.34975531603671
"Fam168b"	7.4386930868479	7.47849317054812
"Plekhb2"	6.69643607259916	6.82305046640367
"RP24-550I15.1"	-4.97878794224898	0.831001388861336
"Hs6st1"	4.81945865210976	3.88280825576423
"Uggt1"	8.50171031317994	7.78364720794606
"Neurl3"	5.27166207476981	6.76052153964449
"Arid5a"	6.76846437479688	7.907016635244
"Kansl3"	5.60760366407233	5.3045302993522
"Fer1l5"	0.949169867966644	-4.83103242003542
"Lman2l"	5.62852205128958	-4.83103242003542
"Cnnm4"	2.56213630203921	-4.83103242003542
"Cnnm3"	6.05696957742445	5.79269961858988
"Ankrd23"	-4.89536886326365	0.205277067290746
"Ankrd39"	3.62032147068315	5.19902498385644
