"Sample_A_Adult_mTEC 2"	"Sample_B_Adult_cTEC 2"	"Sample_C_Embryonic_mTEC 2"	"Sample_D_Embryonic_cTEC 2"
"Paqr8"	2.30476610734682	5.21411017176618	3.12743872582512	3.2094257284217
"Efhc1"	1.68239717861453	2.94069048105497	0.69710055501803	2.35448041957864
"Tram2"	1.23826440621067	2.90693385722504	3.21737909982745	3.83097133713233
"Tmem14a"	3.23924029842566	3.95350214883857	3.22432002838877	2.92755477211989
"Gsta3"	3.50798302762098	2.4524199753665	2.60322172614505	0.397834072224052
"Khdc1a"	1.23826440621067	1.67936628884391	-5.20799498610685	-4.20667141118947
"Kcnq5"	0.0508670815069765	-4.20667141118947	0.0802691331029918	-0.174568376840294
"Gm7658"	-4.24570121166879	0.0374547133991539	0.0374547133991539	0.397834072224052
"Ogfrl1"	7.59168727618448	5.32846592280518	6.56239985552786	5.63042583160477
"Smap1"	6.30575872115056	6.41049507965501	6.03724969315689	6.45369814255138
"1110058L19Rik"	5.23046895529746	5.4546818101908	4.92024227889748	5.36269173006136
"Fam135a"	5.71562115560261	3.13954620883912	5.35837483333279	4.83776642235833
"Col9a1"	3.05829439228167	2.91865435063734	2.18022608593402	3.60149828603514
"Col19a1"	5.08240247400548	3.99510089017142	4.23358285828751	4.08623136008138
"Gm28438"	2.47674927033533	2.11113903377462	3.64643061374433	3.66518558365974
"Gm28437"	0.401591226456077	1.02042912634058	1.90285934682955	2.45627560364105
"Gm10925"	-0.673733444849718	0.450803926011547	0.839935150485872	1.35406676934968
"Gm28661"	-3.73589870441773	-0.585108552615409	-0.238953815333504	1.4611266441505
"Gm29216"	-1.25861275632873	-0.121692138454999	0.529666410196503	0.866033441093526
"Lmbrd1"	6.32657168827285	6.55534688452425	5.65347038900067	6.05917800583093
"Bai3"	0.242343593670289	-4.20667141118947	-0.880401700881039	-4.20667141118947
"Gm7846"	-1.68223934042194	0.450803926011547	1.09948228725853	1.87926570734811
"Gm5525"	-2.57009619110146	0.585489711136567	1.11589899866684	1.4611266441505
"Phf3"	5.39361935811492	5.50599128725239	5.25356553115822	5.95203446021017
"Ptp4a1"	6.80585796275526	7.34014839615353	7.17891230518737	7.25479742483069
"Khdrbs2"	1.70953748716857	2.16807844820913	3.39934523937361	0.725939715409929
"Prim2"	3.29360723765756	3.76562615276004	5.03449760958225	4.76234334326126
"Rab23"	3.53018335788592	4.61394918125676	4.76793321522625	5.15732534554895
"Bag2"	1.69679532910295	3.92447425225413	3.11469513827476	3.68393765565281
"Zfp451"	5.8811525396898	5.75299772572816	6.56545238332616	6.48856914807793
"Bend6"	0.310201622047507	0.124547610928876	4.0983635908387	-0.121692138454999
"Dst"	3.70728859518005	5.03802672954097	2.57350024982006	3.7434125918599
"Gm26788"	-1.49116323387059	0.725939715409929	0.414165889483512	0.449301109980395
"RP24-422C24.2"	3.52602841089825	2.93393706507983	1.70953748716857	0.798124693692311
"Gm3052"	-0.53096784033464	-0.880401700881039	0.0802691331029918	0.0547453313498076
"mmu-mir-5103"	3.5988217350075	0.585489711136567	2.64650086931873	1.66630100998608
"Ccdc115"	4.98673883853153	4.97012573370989	5.74729518050636	5.17216820844356
"Imp4"	5.70337159016849	5.63749134308109	6.41450916402213	6.52701384545033
"Ptpn18"	5.31252747562108	2.93393706507983	2.05177726289124	1.74700144419095
