gene	pval	qval	mu0	k	t0
94	Lrrc4c	7.02935786055167e-07	0.0001263508577124	10.6723452955727	16.743346093961	6.17304231383165
95	Dhx58	7.01510003132259e-07	0.0001263508577124	16.6985821595785	13.6211224231549	5.00142338412315
96	Tgfbi	7.22261450209922e-07	0.00012847225545609	118.815295145906	2.26407708999552	8.04109184738445
97	Gnat3	7.32239753257867e-07	0.000128904392027127	10.6136009820117	15.2334942723956	6.18980936296463
98	Nr1d1	7.51273590971362e-07	0.000130905590198234	130.068747291699	1.47842585266232	7.93957437525917
99	Otor	7.93010779872153e-07	0.000134505052268937	8.94182803372087	-21.0251211552645	2.07985846605518
100	Ccl21a	7.95561623281953e-07	0.000134505052268937	878.67577900988	182.116956436236	6.01550189747387
101	Ccl7	7.81201487362471e-07	0.000134505052268937	4099.62954224532	1.50053419611075	10.2729361433744
102	Herc6	8.59553448467876e-07	0.000143899359667034	17.282883728485	1.14710287919553	5.92968251300384
103	Arhgap8	8.95731790142183e-07	0.000148500155810368	28.3161246780843	0.826020968115169	2.72404880072645
104	H2-Q7	9.05570809706501e-07	0.000148687761024502	198.452290124099	46.6796819033019	6.04027740915983
105	Adam2	9.39773133216709e-07	0.000152833962121986	185.928370640823	-1.66702985429978	-0.767522453952161
106	Fads2	9.6740341900326e-07	0.000155843214933016	707.454920362895	-0.50921330744836	-5.24636950276532
107	Sgpp2	1.06264006304339e-06	0.000168015201078971	349.764329401566	-0.543037001419543	-6.15724377477088
108	B4galnt1	1.05494042108308e-06	0.000168015201078971	84.0928573014848	0.746024861042145	7.64138098900633
109	Cxcl17	1.09209997223058e-06	0.000171088982805591	182.55660301139	1.33357735681283	9.27370189961319
110	Pacs2	1.15927422389018e-06	0.000179961514974079	238.096984969247	1.1362492966779	9.71362955150423
111	Art4	1.20031966818389e-06	0.00018465458246764	1920.93853125493	1.03569864363309	11.3715581640927
112	Xylb	1.24017263946602e-06	0.000189082035638587	27.8223046969007	-28.3987794110107	0.983910615978723
113	Lpin2	1.26124908528891e-06	0.000190593711330915	120.007255101696	2.6906219182726	7.55941312212131
114	Pstpip2	1.30297399754784e-06	0.000195171789316903	14.6327567924936	2.03829146446657	3.05944916882215
115	Nat8l	1.3702443807708e-06	0.000201709422810709	10.3550620697606	19.4589458974097	6.14725426233526
116	Trpv3	1.36540779215374e-06	0.000201709422810709	44.2671458451654	2.96722523421535	7.4304795145893
117	Bhlhe41	1.39689778011894e-06	0.000203255161852726	538.374589265583	0.851849626753139	11.9067831907861
118	Defb1	1.40455077879021e-06	0.000203255161852726	7.82658719675544	1.30539706216264	5.51996571661064
119	Slc5a6	1.49203995475989e-06	0.000212317285562333	56.1804378466289	0.486317880276231	3.75882598202756
120	Polb	1.49200559638604e-06	0.000212317285562333	43.7651013091164	-0.418983353831023	3.14483364035203
