	C1	C2	C3	RA1	RA2	RA3	low
SNORA74A	1.25646308812664	1.12691317457364	1.35620314116122	0.651264711254521	0.320181213226118	1.11591583103055	0.313772648117979
RP11-680G24.5	1.25646308812664	1.12691317457364	1.35620314116122	1.42701820150404	1.12691317457364	1.40555602074844	0.313772648117979
CTD-2203K17.1	1.11591583103055	1.62592161785042	1.05580552698656	0.995674114107001	0.914858917414016	1.34548020523597	0.312610016004479
NUDT18	1.18695069651386	1.18695069651386	1.35620314116122	0.844503676238798	1.24697876599835	1.40555602074844	0.311364436815275
GTSF1	1.93574640570065	1.12691317457364	0.875330024405276	0.844503676238798	1.05580552698656	1.46562049846708	0.311055096489812
B3GALT2	1.04486109044475	1.46074258072719	1.24697876599835	0.651264711254521	1.24697876599835	2.20486496096507	0.309483338539206
C2orf91	1.04486109044475	1.46074258072719	1.24697876599835	1.36701153457177	1.18695069651386	1.70578929451543	0.309483338539206
RP11-1105G2.3	1.04486109044475	1.46074258072719	1.24697876599835	0.723869050210676	1.12691317457364	0.723869050210676	0.309483338539206
RP11-119B16.2	1.11591583103055	1.3265187257976	1.28539143417813	1.30699868718118	0.59048943149272	1.18695069651386	0.309360339873728
GPR26	1.75569356743829	1.51553631170324	0.711894644835001	0.57829910301728	0.203792909992673	0.056521983581123	0.307201712263567
RP11-475C16.1	1.70578929451543	1.12691317457364	0.984668247911376	0.486988848897408	0.914858917414016	1.11591583103055	0.306841819000525
RP11-147L13.2	1.70578929451543	1.12691317457364	0.984668247911376	0.784215036228994	1.34548020523597	1.18695069651386	0.306841819000525
RP3-337H4.6	0.854621701571836	1.57558705527592	1.40555602074844	1.52567499714602	0.723869050210676	1.34548020523597	0.306796094093746
ARSJ	1.25646308812664	1.02618531704176	1.46562049846708	0.57829910301728	0.537606003508436	0.914858917414016	0.306057054574675
SYCP2L	1.25646308812664	1.02618531704176	1.46562049846708	0.203792909992673	0.661214400536246	0.397790383700217	0.306057054574675
CTD-2302E22.5	0.914858917414016	1.24697876599835	1.65634341440376	1.36701153457177	1.52567499714602	1.11591583103055	0.30601996825939
RP11-73B2.6	1.25646308812664	1.62592161785042	0.924441641335794	1.11591583103055	0.784215036228994	1.05580552698656	0.305760050393052
NALCN	1.58572066645096	1.12691317457364	1.05580552698656	0.651264711254521	0.320181213226118	0.57829910301728	0.305286380784298
SLC6A17	0.984668247911376	1.02618531704176	1.86598896074442	19.0230514011337	16.5579016730126	22.5814858789162	0.304980460542476
CTD-2196E14.6	1.64575848574071	0.844503676238798	1.35620314116122	1.05580552698656	1.05580552698656	1.05580552698656	0.304833845350162
RP5-1068E13.7	0.854621701571836	1.62592161785042	1.35620314116122	1.18695069651386	1.05580552698656	1.28539143417813	0.30472961942586
CTD-2410N18.3	1.04486109044475	1.3265187257976	1.35620314116122	1.11591583103055	1.18695069651386	1.64575848574071	0.303509829313766
CYP7B1	1.04486109044475	1.51553631170324	1.18695069651386	1.05580552698656	0.59048943149272	1.24697876599835	0.303466527969812
IFI6	1.04486109044475	1.69566487267227	1.05580552698656	1.18695069651386	0.995674114107001	1.75569356743829	0.301168781945818
TNFRSF19	1.3265187257976	1.18695069651386	1.18695069651386	0.723869050210676	0.784215036228994	0.486988848897408	0.300721686933634
RP11-121L10.3	1.25646308812664	1.69566487267227	0.875330024405276	0.784215036228994	1.34548020523597	1.46562049846708	0.299706105959856
SYCE2	0.984668247911376	1.39582762567272	1.35620314116122	0.57829910301728	0.537606003508436	0.57829910301728	0.29946790791871
RP11-179B2.2	1.38574790950074	1.12691317457364	1.18695069651386	0.844503676238798	0.914858917414016	0.651264711254521	0.296767068380882
BMS1P5	1.13684416403195	1.46074258072719	1.11591583103055	1.30699868718118	1.18695069651386	1.34548020523597	0.296654894286673
IGF2	1.3265187257976	0.651264711254521	2.14484432471905	15.0337002487475	3.81513141271055	5.29425391798072	0.296611314035972
MIR4737	1.51553631170324	1.02618531704176	1.18695069651386	0.844503676238798	1.30699868718118	0.914858917414016	0.294793238974407
PRSS23	1.38574790950074	1.86598896074442	0.711894644835001	1.05580552698656	0.661214400536246	0.723869050210676	0.293446978752991
SH3GL2	1.04486109044475	1.57558705527592	1.11591583103055	0.397790383700217	0.473616952467551	0.914858917414016	0.292476279720421
COBLL1	1.18695069651386	1.05580552698656	1.46562049846708	0.723869050210676	0.320181213226118	0.651264711254521	0.292371906532633
RP11-119H12.4	1.46562049846708	1.05580552698656	1.18695069651386	1.05580552698656	1.46562049846708	0.914858917414016	0.292371906532633
AC022558.1	1.18695069651386	1.05580552698656	1.46562049846708	1.42701820150404	1.18695069651386	0.723869050210676	0.292371906532633
GS1-57L11.1	1.04486109044475	1.24697876599835	1.40555602074844	1.11591583103055	1.46562049846708	1.52567499714602	0.290963003257603
BEND6	1.75569356743829	1.46074258072719	0.711894644835001	0.723869050210676	0.537606003508436	0.320181213226118	0.289492893165293
SETP14	1.75569356743829	1.24697876599835	0.832848834549151	0.57829910301728	1.18695069651386	0.723869050210676	0.288868177345672
RP11-1114A5.4	1.25646308812664	1.12691317457364	1.28539143417813	1.30699868718118	0.723869050210676	0.784215036228994	0.287984138875937
EFNA4	1.11591583103055	1.46074258072719	1.11591583103055	0.904746356797771	0.59048943149272	1.05580552698656	0.287719463685572
GPR113	1.18695069651386	1.12691317457364	1.35620314116122	1.11591583103055	1.64575848574071	0.854621701571836	0.286403221693223
RP11-467D6.1	1.18695069651386	1.18695069651386	1.28539143417813	1.18695069651386	1.75569356743829	1.34548020523597	0.285575927573233
C18orf32	2.01543559243054	1.02618531704176	0.875330024405276	1.90471036911882	0.784215036228994	0.784215036228994	0.285427309877916
AMN	1.51553631170324	1.12691317457364	1.05580552698656	0.486988848897408	0.320181213226118	0.723869050210676	0.283516302235069
BBS12	0.984668247911376	1.24697876599835	1.46562049846708	1.58572066645096	1.9859947307368	1.75569356743829	0.282552709107082
FAM225A	1.51553631170324	0.844503676238798	1.40555602074844	1.05580552698656	0.995674114107001	1.46562049846708	0.282381661079383
RP5-894A10.2	1.46562049846708	1.3265187257976	0.924441641335794	0.651264711254521	0.844503676238798	0.784215036228994	0.281936926796945
SNX15	1.11591583103055	1.18695069651386	1.35620314116122	2.08012845382048	1.52567499714602	1.70578929451543	0.281687171827305
