	C1	C2	C3	RA1	RA2	RA3	high
PTMA	1740.71366681824	1877.53181535661	1740.71366681824	1336.14001656453	1559.51576314453	1611.89853254212	10.8018493435841
RPLP0	1559.51576314453	1611.89853254212	1611.89853254212	1282.83549515003	1399.26164515861	1559.51576314453	10.6386576166838
RPL4	1611.89853254212	1559.51576314453	1559.51576314453	1235.15259773507	1282.83549515003	1399.26164515861	10.6227700182427
ACTG1	1483.99935275737	1483.99935275737	1483.99935275737	1877.53181535661	2025.72801501209	2171.06599909441	10.5352747473931
MAP1B	1399.26164515861	1370.12969796237	1370.12969796237	2025.72801501209	1611.89853254212	1336.14001656453	10.4302145139498
NPM1	1336.14001656453	1399.26164515861	1282.83549515003	766.75808696585	896.309085828178	912.655001533744	10.3864753281955
CCND1	1370.12969796237	1282.83549515003	1336.14001656453	1559.51576314453	1370.12969796237	1370.12969796237	10.3763575656342
TUBA1A	1235.15259773507	1336.14001656453	1399.26164515861	945.084520659934	1235.15259773507	1483.99935275737	10.3682596994382
TUBA1B	1282.83549515003	1235.15259773507	1235.15259773507	912.655001533744	1126.80554520832	1282.83549515003	10.2886892049424
GNAS	1126.80554520832	1155.4949393759	1155.4949393759	1155.4949393759	1155.4949393759	1155.4949393759	10.1622044351079
GNB2L1	1091.78309856637	1091.78309856637	1126.80554520832	881.978246206554	1014.36952291005	1029.8739992106	10.1076546532727
RPS2	1155.4949393759	1055.07903622075	1091.78309856637	1002.09526404838	857.191779733274	1014.36952291005	10.10330037986
RPSA	1055.07903622075	1126.80554520832	1055.07903622075	807.80840148946	982.40366579792	1091.78309856637	10.0747645246005
DPYSL2	1002.09526404838	1002.09526404838	1029.8739992106	870.095217660437	971.773915414934	982.40366579792	9.98195334126172
RPS11	1014.36952291005	1029.8739992106	971.773915414934	791.810470920893	921.815033905729	945.084520659934	9.97303220411842
PKM	969.552242160029	971.773915414934	1002.09526404838	982.40366579792	1029.8739992106	1235.15259773507	9.93815189117143
HNRNPA1	1029.8739992106	921.815033905729	969.552242160029	772.097812464072	819.166059605765	928.751907276683	9.92592014611434
MATR3	971.773915414934	982.40366579792	945.084520659934	729.472790852775	845.452718975202	881.978246206554	9.91631619306871
RPS3A	982.40366579792	1014.36952291005	881.978246206554	681.620341517567	795.779729422038	845.452718975202	9.90371299524035
MIR663A	945.084520659934	945.084520659934	982.40366579792	5489.55382810352	1823.20273867763	1055.07903622075	9.90292374312889
RPL13A	921.815033905729	969.552242160029	912.655001533744	752.362285798339	870.095217660437	857.191779733274	9.867811367998
MT-CO2	795.779729422038	881.978246206554	1014.36952291005	1029.8739992106	1002.09526404838	752.362285798339	9.80239739731816
MALAT1	928.751907276683	825.803855756319	921.815033905729	2350.48605161254	1483.99935275737	781.998929172309	9.79904609637052
RPS7	857.191779733274	928.751907276683	857.191779733274	617.510949442326	772.097812464072	804.158365636762	9.78203262254545
RPS24	839.561165998116	912.655001533744	850.583359896555	685.721088076863	711.427001590563	741.136831031144	9.75990874601485
RPL7A	850.583359896555	870.095217660437	870.095217660437	692.205425492903	746.771163820552	795.779729422038	9.75412259291156
RPS6	845.452718975202	896.309085828178	804.158365636762	667.407738121966	715.660708188406	772.097812464072	9.72758953683621
FASN	896.309085828178	733.874184973557	896.309085828178	1055.07903622075	781.998929172309	776.207816128059	9.71169798704341
