	C1	C2	C3	RA1	RA2	RA3	med
FAT4	40.7414734552201	40.0321480006372	38.7698752836008	31.178125887611	28.054665529723	21.1195841387656	5.31612585496697
ZNF594	39.4851541171981	35.785922224411	44.6415552225283	41.8088245366092	40.8306329185368	40.8503450663564	5.3149580180035
ARRB1	40.0421373095006	40.3570367415041	39.003907261762	44.8919112377156	39.3048301759854	44.7857179374453	5.31458072289782
IFNGR2	41.2962496718171	39.1046245440238	39.003907261762	36.710378649363	40.4915565815113	46.4854937228045	5.31425098011167
LRP4	39.184874380527	41.4306245868514	38.7698752836008	45.9713723725368	39.9331801182864	32.8759354613622	5.31390494022184
FAM105A	37.6571472759725	43.8633182295578	37.9564450369167	34.3423850934906	43.9174793450599	43.3951865314581	5.31202260981434
HADH	40.003020170005	41.0121303858564	38.1266804388511	40.6668010217291	30.4296095187013	30.0401857146562	5.31091494096451
SCAF4	42.931348006422	35.7106734086545	40.7805018962536	68.2316630219211	41.9194892569853	41.4306245868514	5.31068354272735
AURKA	43.5355255850676	37.2794356287545	38.5213781834999	38.8990814721447	37.6124951424767	45.7507942863897	5.31067225465507
ITFG1	36.350554208984	41.6496830454785	41.2767223393668	34.1932723440021	40.2314535486534	42.6375372346642	5.31046519219085
PAPOLG	42.3337963212836	37.5771282204531	39.2547190519937	39.1745093805592	42.1681732310682	47.9283086570714	5.31010502293857
IPO8	41.4802214712096	40.0922166827562	37.5475497413672	49.5673052425312	38.3268782637439	33.4499194308694	5.31008294385481
CYB5R4	41.1813314573144	39.3443451099699	38.5213781834999	39.7989098791576	40.0079445286427	45.3066409573494	5.30986345809677
AGGF1	42.4724448660065	39.3443451099699	37.3290751031003	32.1527035745281	35.8812027871565	39.6348673168591	5.30958916693838
FAM160B1	40.4816479644418	38.6553294393571	39.7989098791576	48.925105865974	49.3829916066303	49.9915145376275	5.30881618487432
BAX	40.1813201686463	37.9463180295663	40.7805018962536	42.6472038487973	39.8137261364227	40.003020170005	5.30804956233163
NAA35	39.4851541171981	39.1898073297031	40.1813201686463	45.3211546295461	42.3585714952298	42.3387306185241	5.30803268376806
EPB41L5	39.5897712593284	41.8595100827372	37.4588886724876	57.8120500186437	54.3822251928235	53.7003460462541	5.30725851385001
NDUFB8	39.4851541171981	40.6021289937188	38.6657895496788	32.458015682329	37.324114097989	41.8296769266441	5.30656921898075
DUS3L	36.8400346314722	39.1546387850557	42.946715952835	31.0779943081529	33.1263104528389	32.5373328789287	5.30626325221656
MBNL2	38.3318074497535	40.7805018962536	39.5704393020027	18.2054257203154	19.9005227579552	22.8913122707657	5.30554297479571
