Gene,pval,qval
Ankrd1,0.075263526,0.150194106
Ska2,0.07532352,0.150296332
Hmgb3,0.075446997,0.150525189
Plscr1,0.075684055,0.150980573
Cast,0.075834929,0.151246347
Cul4b,0.075826726,0.151246347
Chac2,0.075944202,0.151446662
Haus4,0.076017448,0.151575095
Henmt1,0.076074534,0.151671279
Cdc42bpa,0.076094147,0.151692739
Rab11fip1,0.076210359,0.151906741
Tmem170,0.076413905,0.152294752
Elavl2,0.076471864,0.152374833
Mamld1,0.07646636,0.152374833
Cops7b,0.076548608,0.152510024
Fam73a,0.076566814,0.152510845
Kif11,0.076565636,0.152510845
Fut7,0.076585617,0.152530573
Ankrd2,0.076683613,0.152708003
Gm26541,0.07674631,0.152815105
Ubr3,0.076775471,0.152855416
Evi5,0.076846841,0.15297974
Gm15470,0.076866779,0.153001664
Ticam1,0.076903771,0.153057522
Acad8,0.076923917,0.153075765
Serpina3a,0.076930797,0.153075765
Sephs2,0.076964474,0.153125002
Apip,0.077123446,0.153415422
2810001G20Rik,0.077131101,0.153415422
Smpd4,0.077137296,0.153415422
Nars2,0.077152751,0.15342836
Zxdb,0.077168062,0.153441007
Gale,0.07719358,0.153455525
Rab4b,0.077201001,0.153455525
Gm10634,0.07720222,0.153455525
Gja1,0.077256281,0.153545179
Pcmtd1,0.07733781,0.153674175
Large,0.077339115,0.153674175
Zfp335os,0.077361627,0.153701091
Erlec1,0.077432811,0.153824689
Cttnbp2,0.07758038,0.154099986
Dennd2a,0.077600367,0.154121827
Magea5,0.077702148,0.154306096
Znhit3,0.077733813,0.154343125
Ang2,0.077738802,0.154343125
Acad9,0.077818163,0.154482796
Rab17,0.077875905,0.154573919
Osbp,0.077882099,0.154573919
Il20ra,0.077895355,0.154582332
2410016O06Rik,0.077993307,0.1547588
Pcdhb20,0.078004522,0.154763139
Ccdc58,0.078030599,0.154796959
Dtwd1,0.078181114,0.155077605
Zbtb44,0.078292763,0.155281099
Ehhadh,0.078360642,0.155397747
Vps39,0.078463107,0.155582947
2310014L17Rik,0.078475607,0.155589736
Pgam1,0.078495566,0.15561131
Anxa6,0.078610013,0.155820171
Orc6,0.078623053,0.155827999
Pigo,0.078786285,0.156133467
Dtd2,0.078896943,0.15633469
Lrrc3b,0.078942823,0.15640752
Nedd4l,0.079080998,0.156663177
St6gal2,0.079192914,0.15686676
Gm14207,0.079213101,0.156888616
Pign,0.079271036,0.15696709
Actn4,0.079269303,0.15696709
Slco1a6,0.079387445,0.157179438
Sostdc1,0.07940739,0.157200771
Phf7,0.079419306,0.157206206
Foxp4,0.079532439,0.157411969
Sec61a2,0.079551895,0.1574323
Rnf111,0.079592848,0.157495164
Sorcs2,0.079625168,0.15752275
A330033J07Rik,0.079617595,0.15752275
Zfp131,0.079667867,0.157589035
Loxl2,0.079722212,0.157678338
Golgb1,0.079737506,0.157690393
Srsf7,0.079765364,0.157727288
Spink11,0.079807747,0.157792894
Rapsn,0.079842012,0.157826803
Oosp2,0.079843311,0.157826803
Map3k2,0.079863773,0.157849048
Nfe2l2,0.080039807,0.158178737
Apol10b,0.080088407,0.158256538
Rep15,0.080128051,0.158316627
Ccdc17,0.080221488,0.158464709
C2cd5,0.080220432,0.158464709
Fuca2,0.080272191,0.158546595
Spint2,0.080339207,0.158660677
Fbxl6,0.080403038,0.158750158
Scyl1,0.080398574,0.158750158
Fktn,0.080451313,0.158827181
Mms22l,0.08047285,0.158851404
Hsp90aa1,0.080573845,0.159032453
Kdm2b,0.080595724,0.159051026
Gm10033,0.080601812,0.159051026
Fam49a,0.080616896,0.159062481
Cfap52,0.080694067,0.15919642
Gm12183,0.080715389,0.15922016
Acer2,0.080807546,0.159383611
Dsg3,0.081011291,0.15976709
Scyl3,0.081313773,0.160345186
Gsdmcl-ps,0.081449729,0.160594806
Rwdd2b,0.081498416,0.160672323
Mrps27,0.0815447,0.160745083
Baiap2,0.081688764,0.161010555
Odf2l,0.081781317,0.161155919
Mbp,0.081774198,0.161155919
Slc8b1,0.081905077,0.161381246
Ifrd1,0.081956079,0.161449491
Fam118a,0.08195855,0.161449491
Tspan10,0.081984559,0.161482168
A630052C17Rik,0.082190139,0.161868492
March3,0.082229846,0.16192809
Btg1,0.082324325,0.162095517
Igfbp2,0.08235788,0.162142963
Ppp1r14c,0.08237728,0.162144698
Spata24,0.082377679,0.162144698
Ubxn11,0.082398987,0.162168017
Mbd5,0.082427991,0.162206478
Chd1,0.082509485,0.162348208
Zfp142,0.082578894,0.162466131
Megf9,0.082608019,0.162504781
Slc16a5,0.082682267,0.162632178
Ifih1,0.082774817,0.162794816
4933429H19Rik,0.082793443,0.162794816
Wash,0.082792428,0.162794816
Golim4,0.082905547,0.162996547
Slc2a1,0.082993291,0.163150343
Prr15,0.083029711,0.163203224
Gm14341,0.08304084,0.163206384
Tbl1xr1,0.083069726,0.16324444
Psg20,0.083113592,0.16331192
Thrap3,0.083133307,0.163331936
Rpain,0.083266516,0.163574905
Dnaaf2,0.083286911,0.163596223
Zbtb24,0.083405239,0.163809877
Trmt61b,0.083421892,0.163823814
Gm26550,0.083459939,0.163879756
Cask,0.083479772,0.163899925
Ncam1,0.083550738,0.164020471
Ears2,0.083577134,0.164053502
C130074G19Rik,0.083626651,0.164124996
Cpt1c,0.083632706,0.164124996
Epha2,0.083684687,0.164208208
Ranbp17,0.083751042,0.164319602
Eml5,0.08380109,0.16439898
Meis2,0.083883958,0.1645109
Zfp712,0.083886931,0.1645109
Myl12b,0.083871396,0.1645109
Creg2,0.083899693,0.164517106
Mir328,0.08392991,0.164557534
Zfp687,0.08394136,0.164561162
Sipa1,0.083989288,0.164636292
A130051J06Rik,0.084079978,0.164795219
Gm12408,0.084097312,0.16481035
Snrnp40,0.084185247,0.16493956
Cspg4,0.084174888,0.16493956
Mthfsl,0.08419211,0.16493956
Dio3,0.084205444,0.1649462
Pim3,0.084214744,0.1649462
Gm17690,0.084310116,0.165114134
Ppp2r5b,0.084332367,0.165138844
Prss41,0.084374445,0.165202368
Bdnf,0.084459853,0.165350709
R74862,0.084502402,0.165415116
Mrps25,0.084522599,0.16543576
Sh3bgrl3,0.084655973,0.165658984
Kat8,0.08465198,0.165658984
Pole3,0.084806959,0.165935497
Armcx2,0.084827293,0.165956341
Dbr1,0.084864069,0.166009343
Stk17b,0.084978521,0.166207418
Ssx2ip,0.084987661,0.166207418
Agpat9,0.085004109,0.166207418
Tnfaip8l1,0.085003807,0.166207418
Faxc,0.08533553,0.166836412
Ybx3,0.0853964,0.166936378
Spred1,0.085459172,0.167040037
2810402E24Rik,0.085488062,0.167077456
Nt5m,0.085505768,0.167093008
Irf2,0.085546651,0.167153846
Fbxl12,0.085576043,0.167192218
Fancg,0.085598871,0.16721776
Pithd1,0.085621405,0.167242721
Pm20d1,0.085698112,0.167373481
Skil,0.085758416,0.167472177
Rhobtb1,0.085783564,0.167502205
Cox11,0.085857461,0.167627402
Man1a2,0.085901194,0.167693687
Cyp2d10,0.085929701,0.167730236
Klk11,0.085973872,0.167778245
Rab3ip,0.085964574,0.167778245
Nmb,0.086040914,0.167889966
Bloc1s5,0.086057685,0.167903578
Saal1,0.086070828,0.167910109
0610040J01Rik,0.086096146,0.167934646
Gm20319,0.086102999,0.167934646
Ckap5,0.086129819,0.167948738
Mycl,0.086129237,0.167948738
Cd200r3,0.08621567,0.168097021
Gm9,0.086358634,0.168356613
Csf2ra,0.08636999,0.168359606
Fgf14,0.086394173,0.168387596
Capg,0.086474389,0.16852478
Psg21,0.086532372,0.168618612
Gulp1,0.086735347,0.168994922
Atp2b4,0.086745645,0.168995778
Gm24082,0.086798252,0.169079049
Zfp518a,0.086818606,0.169080272
Col17a1,0.086814838,0.169080272
Naa40,0.086835038,0.169093062
Cfap57,0.086914903,0.169229358
Cyp4f17,0.08699659,0.16936917
Ube2c,0.087114344,0.169579161
Cp,0.087184826,0.169668779
Klhl8,0.08718587,0.169668779
Ube2d1,0.087190076,0.169668779
Pald1,0.087216123,0.169700203
2610524H06Rik,0.087259127,0.169744799
Cyp8b1,0.087252312,0.169744799
Ccdc6,0.08726875,0.169744799
Kctd11,0.087278861,0.169745205
Ado,0.087367912,0.169899121
Rnf128,0.087461998,0.170062791
Zfp143,0.08748106,0.170080564
Gngt1,0.087577708,0.170249157
0610039K10Rik,0.087599248,0.170264338
Eva1b,0.087605382,0.170264338
Col16a1,0.087671751,0.170374011
Bambi,0.087780715,0.170566427
Rfc4,0.087942756,0.170861921
Rab21,0.087995971,0.170945935
Atp11c,0.088046626,0.171024959
Nutf2,0.088142479,0.171191749
Txlna,0.088266556,0.171413312
Rph3al,0.088382465,0.171618965
Tarbp2,0.088519119,0.171864847
Fam20b,0.088542054,0.17187883
Ccdc138,0.088546374,0.17187883
Gm11175,0.088618136,0.171998651
Mlst8,0.088963122,0.172648684
Chmp7,0.089061988,0.172820987
Pgr,0.089147916,0.172968146
Gm5039,0.089266611,0.173178842
Ankrd24,0.089403987,0.173425726
Iqub,0.089533166,0.173656656
Kcna3,0.089587542,0.173742464
RP23-32A8.1,0.089618646,0.173778353
Dnajc9,0.089626322,0.173778353
Maz,0.089690375,0.173882878
Cbx3,0.089759105,0.173996446
Gm17455,0.089855191,0.174163014
Kbtbd11,0.0899692,0.174364276
Ankrd65,0.090013613,0.174430631
Rtf1,0.090304874,0.174975263
Gm16892,0.090362497,0.175067125
Amdhd2,0.090383629,0.175088277
Tnc,0.090546955,0.175374614
Kcnmb4os2,0.090551902,0.175374614
Ctla4,0.09058976,0.175428113
Agpat4,0.090799766,0.175814931
Acat2,0.090869279,0.175929657
Bcorl1,0.09107057,0.17629946
Ap1s2,0.091098645,0.176333894
Tceal7,0.091168599,0.176449377
Smo,0.091299224,0.176682242
Ccdc63,0.0913141,0.176691084
Ilvbl,0.091418246,0.176872637
Atp6v1c2,0.091510908,0.177011959
Batf,0.091506432,0.177011959
Gin1,0.091631885,0.17722597
Grk4,0.091730243,0.177396189
Ssc4d,0.091880876,0.177667454
Pira2,0.091914383,0.177712199
Rhou,0.092006098,0.177869464
Inpp5j,0.092068485,0.177964962
Gata1,0.09207626,0.177964962
Olfml2b,0.092134512,0.178057476
Lrrc31,0.092197678,0.178139381
Lats1,0.092194143,0.178139381
Aurkc,0.0922227,0.178167645
Smurf1,0.092358379,0.178409661
Lrp8,0.092374861,0.178421394
Sumf2,0.092396071,0.178442254
Mospd2,0.092652626,0.178917575
Gtf2a1,0.092693907,0.178977129
Gm14303,0.093017255,0.179581235
Morn5,0.093085955,0.179693632
Ctc1,0.093145866,0.179789037
Rbpms,0.093162194,0.179800306
Slc25a30,0.093264373,0.179977247
Ajuba,0.093284997,0.179996782
Efhd2,0.093343134,0.180088688
Trim39,0.093394242,0.180167016
Slc7a13,0.093451816,0.180257795
Mgat4b,0.093628933,0.180579114
Ddx6,0.093703411,0.180702426
Egln2,0.093790961,0.180850917
Chst7,0.093877414,0.18099726
Gm11527,0.093904562,0.18102924
Cck,0.093970894,0.181116378
Enox1,0.093963976,0.181116378
Slc47a2,0.094122292,0.181387783
Gm5535,0.094194251,0.181485653
Akr1c20,0.094194251,0.181485653
Eif4enif1,0.094243591,0.18156031
Pcdhb21,0.094421745,0.181883083
Casp8,0.094481247,0.181977251
Ttc32,0.094556621,0.182101965
Piga,0.094680684,0.182320409
Pacrg,0.094746606,0.182426858
Lyrm9,0.095137211,0.183158364
Rhebl1,0.095168468,0.183197965
Urgcp,0.095202154,0.183242233
Tbc1d23,0.095232774,0.183280589
6030468B19Rik,0.095275255,0.183341762
Pds5b,0.095327452,0.183421617
Nbr1,0.095396924,0.183534688
Gm26707,0.09544745,0.183611288
Cwf19l1,0.095549963,0.183787867
Ano7,0.095647254,0.183954363
Dsel,0.095684406,0.184005171
Eftud2,0.095887528,0.184375098
Sltm,0.096036662,0.184641146
Supt7l,0.096084537,0.184712475
Plk2,0.096144254,0.184806549
Aqp11,0.096175957,0.184846761
Baz2b,0.09620598,0.184883735
Cxadr,0.096314515,0.185071563
Twf2,0.096361862,0.185141788
Hspb2,0.096427253,0.185246662
Tspo2,0.096458798,0.185286499
Zcchc10,0.096519687,0.185382687
Tnr,0.096722664,0.185751727
Dlk1,0.096746003,0.185775734
Ubr7,0.096777902,0.185816174
Gm5868,0.096810276,0.185857515
Osbpl5,0.096857563,0.185906656
Mei1,0.096850231,0.185906656
Lrrc24,0.09688589,0.185940206
Dcaf12l1,0.096900898,0.185948192
Stxbp6,0.096930056,0.185983324
Atf1,0.096945767,0.185992652
Ell,0.097111941,0.186254678
Cenpw,0.097118536,0.186254678
Itgb3,0.097125806,0.186254678
Homez,0.097112058,0.186254678
Pik3ca,0.097152592,0.186285204
Zfyve28,0.097403125,0.1867447
Fam84b,0.097427453,0.186770454
Cbx6,0.09746183,0.186815464
Mageh1,0.097507846,0.186882769
4931440P22Rik,0.097702069,0.187234082
Gm6264,0.097803262,0.18730237
1810009J06Rik,0.097803262,0.18730237
Acan,0.097803262,0.18730237
Ptprn2,0.097803262,0.18730237
Gm24718,0.097803262,0.18730237
Gm15169,0.097803262,0.18730237
Cars,0.097864932,0.187399538
Lrrc61,0.097972428,0.187563476
Gm16536,0.097966149,0.187563476
Plod2,0.098045505,0.187682418
Lrp3,0.098173535,0.187906514
Klhl4,0.09821936,0.187973236
Phf23,0.09828014,0.188068561
Mcm4,0.098349698,0.18818066
Arhgdib,0.098466327,0.188356483
Dcps,0.098474554,0.188356483
Gm6863,0.098464867,0.188356483
Cspg5,0.098608378,0.188591412
Vps8,0.098627839,0.188607588
Gm2974,0.098641859,0.188613357
Paqr8,0.098887778,0.189062492
Tmem9,0.099087121,0.189422485
Bzrap1,0.099191841,0.189601533
Snapc1,0.099248981,0.189689601
Cmya5,0.099272918,0.189693052
4930506C21Rik,0.099270079,0.189693052
C1ra,0.09936285,0.189843734
Zfp800,0.099459901,0.190007983
Rps19bp1,0.099476964,0.190019402
Mesdc1,0.099610846,0.190253942
Padi6,0.099652023,0.190311383
1600015I10Rik,0.099680137,0.190343869
Gm21844,0.099732661,0.190422954
Cdh22,0.099778422,0.190489108
Rrs1,0.100090839,0.191055823
Fmo6,0.100097559,0.191055823
Stk3,0.100378125,0.191570008
T,0.100471164,0.191726226
Rorc,0.100500285,0.191730083
4921528I07Rik,0.100500285,0.191730083
Dnmbp,0.100517924,0.191730083
Iqsec2,0.100507435,0.191730083
Net1,0.100560238,0.191789453
RP24-390G17.2,0.100636318,0.1919132
Eefsec,0.10066377,0.191944199
Gm29187,0.100729972,0.19204907
Srrm2,0.100742981,0.19205251
Ak7,0.100905741,0.1923414
Hmces,0.100941564,0.192346138
RP23-46B12.6,0.100936733,0.192346138
Cdk4,0.100941889,0.192346138
RP23-75P5.3,0.101005734,0.192446403
Rbpj,0.101036616,0.192483848
Nup98,0.101059922,0.192506854
Bmf,0.10118521,0.192702047
Adamtsl3,0.101196116,0.192702047
Ms4a2,0.101191061,0.192702047
Tvp23a,0.101259994,0.192802268
Fam65c,0.101294148,0.192824463
Prrg1,0.101290228,0.192824463
RP23-73N8.1,0.101351444,0.192912108
Bcas3,0.101370482,0.192926925
Pms2,0.101428552,0.193016012
Nipa1,0.101503389,0.193136985
Mtor,0.101533528,0.193172889
Mid2,0.101988022,0.194016056
Hddc2,0.102011843,0.194039838
Lrriq4,0.102163584,0.194306907
Pir,0.102211396,0.194376275
Mc5r,0.102316507,0.194554583
Antxr2,0.102354378,0.194605008
Gm26535,0.10238448,0.194640651
Dpep2,0.102407192,0.194662241
Cmtm4,0.102420951,0.194666808
BC049715,0.102444727,0.194690412
Adra1b,0.102514665,0.194795381
Acot4,0.102522689,0.194795381
Vkorc1,0.102547546,0.194821017
Map2k7,0.102648397,0.194991005
Pnrc1,0.102712308,0.195069177
Fam229b,0.102705856,0.195069177
Bex2,0.102762595,0.19514306
Prkaa2,0.102818695,0.195227965
Parvg,0.102870559,0.19530481
Arl2,0.102882134,0.195305154
Mfap3l,0.102931463,0.19537716
Iqgap1,0.103049016,0.195578634
Myo18a,0.103091137,0.195636917
Gm4955,0.103191506,0.195805712
Irx2,0.103264698,0.195922906
Upf1,0.103327803,0.196020939
Mafa,0.103355963,0.196052664
Esrp2,0.103452422,0.196213921
Hnrnpu,0.103544132,0.196366137
2310026L22Rik,0.103623476,0.196494871
Gm17546,0.103655416,0.196533696
Tgfbr1,0.103878933,0.196935709
Rpgr,0.103917679,0.196987377
Lmnb2,0.103972515,0.197069533
Aasdh,0.104076564,0.197202818
Ppef2,0.104077348,0.197202818
Kdm6a,0.104064377,0.197202818
Aqp2,0.104112357,0.197247349
Adsl,0.104156335,0.197308863
Stk35,0.104244986,0.197454977
Fam83c,0.104277155,0.19747227
Lactb,0.104273329,0.19747227
Usp8,0.104326616,0.197544113
Morn4,0.104550184,0.197945577
Epha1,0.1045943,0.198007232
Cks2,0.104619439,0.198032954
Sh3bp4,0.104676549,0.198115423
Npc2,0.104686122,0.198115423
Zfp750,0.10473474,0.198185552
Wipi1,0.10501344,0.198690991
Ddx24,0.105070058,0.198776177
Ptgir,0.105096682,0.198804604
Pla2g12a,0.105155577,0.198894063
Htr5b,0.105198785,0.198953836
Klhl35,0.105225738,0.198982857
Elk3,0.105285101,0.199073152
Malt1,0.105321709,0.199120408
Hdac5,0.105468332,0.199331658
Rad17,0.105466789,0.199331658
Ints5,0.105456228,0.199331658
Gm11868,0.105541673,0.199448282
2810403D21Rik,0.1055582,0.199457525
Crlf3,0.105716603,0.199734818
Eif2b5,0.105886639,0.200011986
A330040F15Rik,0.105877806,0.200011986
Arhgap1,0.105913181,0.200040078
Hyou1,0.105940291,0.200047198
Btbd7,0.105934724,0.200047198
Ccdc24,0.106016786,0.20014755
Zfp236,0.10600902,0.20014755
Ifnlr1,0.10617134,0.200417257
Cenpl,0.106206797,0.200462114
Racgap1,0.106222297,0.200469297
Bpifa6,0.10632962,0.200649752
Morn2,0.106365333,0.200695052
Adat2,0.106398191,0.200734954
Zc3h12a,0.106488087,0.200881135
2410022M11Rik,0.106499111,0.200881135
Ncoa7,0.106540029,0.200936206
Ldlrap1,0.10657265,0.200975619
Pih1d2,0.106616096,0.201035432
Ccdc155,0.106837059,0.201429924
RP23-386A10.2,0.106885039,0.201431766
Maml1,0.106850236,0.201431766
Elp3,0.106885034,0.201431766
Lox,0.106863277,0.201431766
Magee1,0.106907075,0.201451147
Mgst3,0.107020118,0.201636926
Ubap2l,0.107029191,0.201636926
Ttc13,0.107091922,0.201732937
Laptm4b,0.107266289,0.202039197
Mettl6,0.107474579,0.202409277
Scai,0.107554725,0.202537965
Ogdh,0.107572094,0.202548422
Tfap2c,0.107644721,0.202618404
Meis3,0.107621936,0.202618404
9130213A22Rik,0.10764032,0.202618404
Fbxo40,0.107725511,0.202748211
Gm9112,0.107804888,0.202875331
Gm12940,0.107822919,0.20288699
Cabin1,0.107863523,0.202941116
Sqstm1,0.10791088,0.203007936
Capn2,0.107922842,0.20300816
Trmt10a,0.108050987,0.20318232
Fxyd5,0.108044371,0.20318232
Saraf,0.108050765,0.20318232
Tmtc2,0.108105687,0.203262882
Atp6v1g2,0.108273468,0.20353545
Gpr108,0.1082744,0.20353545
Nsd1,0.108325567,0.203609306
Fabp5,0.108356915,0.203645899
D430019H16Rik,0.108389126,0.203684104
Klk1b21,0.10843332,0.203744817
Herc2,0.108562414,0.203946195
Hsd3b7,0.108564288,0.203946195
Pfkfb2,0.108617424,0.204023655
Tipin,0.108794922,0.204334672
Cox6b2,0.108851838,0.204419172
Sdhaf1,0.108946023,0.204551229
Setdb2,0.108940593,0.204551229
Pex5l,0.109025483,0.204678001
Pcgf1,0.109221132,0.205022848
Emp2,0.109301961,0.205152109
Ccdc86,0.109334658,0.205191013
Plk1,0.109409433,0.205308866
Abcb4,0.109451335,0.205365015
Fra10ac1,0.109515289,0.205462525
Aplf,0.109575711,0.205527695
Zfp551,0.109585995,0.205527695
Yy1,0.109569509,0.205527695
Ndrg1,0.109691356,0.205702792
Slc39a11,0.109810327,0.205878391
Gm16576,0.109821025,0.205878391
Hdac10,0.109817463,0.205878391
Nmt1,0.10987199,0.205951411
4833417C18Rik,0.109915597,0.206010623
P2ry2,0.110069019,0.206275622
Rnft2,0.110104143,0.206318891
Lins,0.110222438,0.206517983
Dcaf17,0.110375348,0.206761204
Furin,0.110376373,0.206761204
Itgad,0.110412774,0.206788571
Zmym3,0.110415108,0.206788571
Mpc1,0.110459728,0.206849537
Izumo1,0.110520884,0.206927323
Ssbp2,0.110525409,0.206927323
Lrrc28,0.110575012,0.206997583
Gm26969,0.110689784,0.20718981
Krt25,0.110704807,0.207195305
Aldh1b1,0.110812451,0.207351494
Fkbp3,0.110811474,0.207351494
Btf3l4,0.110879855,0.207454974
mt-Co3,0.110940616,0.207546005
Ldlrad3,0.110984583,0.207580918
Grap2,0.110995607,0.207580918
Nfya,0.110977456,0.207580918
Slain2,0.111052007,0.20766374
Snx30,0.111075624,0.207685247
2010111I01Rik,0.111093588,0.207696181
4930444P10Rik,0.111177248,0.207829922
Cks1b,0.111250766,0.207922006
Cacna1d,0.111246481,0.207922006
C2cd2l,0.111266631,0.207928986
Dnajc16,0.111377405,0.208113306
Mical2,0.111414932,0.208160737
Pla2g12b,0.111646966,0.208571522
Phf6,0.111798731,0.208832281
Strada,0.111820418,0.208850034
Clcn5,0.111931895,0.209035467
Zbtb7b,0.112003747,0.209124085
Wnt11,0.111999681,0.209124085
AA467197,0.112058755,0.209204006
Ngfrap1,0.11209926,0.209256834
Pigm,0.112261698,0.209537242
Bcor,0.112318019,0.209619541
Gm17206,0.112345829,0.209648618
Fhl2,0.112385572,0.209699954
Efcab6,0.112406065,0.209715364
Frem3,0.112422176,0.209722596
Ttll10,0.112448615,0.209749093
Mettl2,0.112469771,0.209765729
Asnsd1,0.11249511,0.209790162
Dock5,0.112547159,0.209856912
Slc7a4,0.112555388,0.209856912
Tmem53,0.112713131,0.210082472
Zxdc,0.112701169,0.210082472
Fam60a,0.112701753,0.210082472
F420014N23Rik,0.112893354,0.210372636
Tbc1d22a,0.112887603,0.210372636
Cmtm7,0.112936786,0.210425555
Bphl,0.112946303,0.210425555
Ccna2,0.112983192,0.210471406
Mvk,0.113177254,0.210787102
Tpst1,0.113166367,0.210787102
Gm29358,0.113227077,0.210834082
Tmem170b,0.113222655,0.210834082
Slc17a3,0.1134289,0.211186946
Mapk15,0.113497397,0.211291527
Gm26672,0.113543385,0.211354188
Tmem209,0.113574962,0.21139001
Cul2,0.113635779,0.211480244
4930539J05Rik,0.113674981,0.211507275
Gm15545,0.113672918,0.211507275
A630012P03Rik,0.113721132,0.211570181
Mkrn1,0.113759906,0.211605177
Snapc2,0.113764631,0.211605177
Srek1ip1,0.113920092,0.211871348
Ing1,0.113942871,0.211871364
Gmip,0.11395718,0.211871364
6430548M08Rik,0.11395718,0.211871364
Gm26741,0.114016164,0.21195804
Myo1b,0.114037965,0.211975579
Tagap1,0.114143533,0.212148807
Mtmr11,0.114166918,0.212169267
Fam135a,0.114195725,0.212199796
Gm13835,0.114265124,0.21227326
Dcun1d3,0.114251329,0.21227326
Tnfaip8l3,0.11427241,0.21227326
Vav2,0.114347114,0.212389017
Bag4,0.114366728,0.212402432
E130208F15Rik,0.114400189,0.212441561
Gcc1,0.114558151,0.212711853
Dctpp1,0.11474255,0.213021761
Brwd1,0.114749909,0.213021761
Fermt2,0.114989453,0.213443335
Atf2,0.115002419,0.21344429
Igsf23,0.115167856,0.2137282
AW549877,0.115188368,0.213743126
Atrn,0.115428697,0.214155682
1700120C14Rik,0.115435685,0.214155682
Abr,0.115464652,0.214186242
Gm13373,0.115769961,0.214622169
Alms1,0.115758198,0.214622169
Cml2,0.115769961,0.214622169
BC065403,0.115774775,0.214622169
Cyp2d9,0.115769961,0.214622169
D19Bwg1357e,0.115771525,0.214622169
Tbcd,0.115813038,0.214669885
Foxp1,0.115930309,0.214864024
A830092H15Rik,0.115978957,0.21493095
Chn1os1,0.116080137,0.215095201
CK137956,0.116101945,0.215112359
C030013C21Rik,0.116133499,0.215147567
Pafah2,0.116147406,0.21515008
Clic5,0.116278084,0.215368872
Emg1,0.116347494,0.215450874
Sp7,0.116344389,0.215450874
Nipal1,0.116370574,0.215470336
Agps,0.116541146,0.215762861
Slc9a2,0.116572327,0.215797282
Mrgpre,0.116597892,0.215821301
Rnf215,0.116777327,0.216124539
Smim5,0.116786933,0.216124539
Ctse,0.116837514,0.216194804
Fam63b,0.116885732,0.216260682
Atp6v0b,0.117041918,0.216526285
Il16,0.117295644,0.21697226
Lrch2,0.117388582,0.217120746
Ostf1,0.11748716,0.217279631
Vwa3b,0.117520331,0.21729553
Insl6,0.117521109,0.21729553
Alg10b,0.117539092,0.217305341
Med6,0.117598219,0.217391208
Phyh,0.117797667,0.217736426
2310057M21Rik,0.117819267,0.21775287
Chpf,0.117950332,0.217971603
Fam3c,0.118126205,0.218273084
Srsf12,0.118312934,0.218594558
Mtrr,0.11848972,0.218876612
Med14,0.118491131,0.218876612
Prrg2,0.118573696,0.219005527
Irgm2,0.118595167,0.219021585
9130023H24Rik,0.118666669,0.219130027
Ttl,0.118807512,0.21934285
Hk2,0.118806285,0.21934285
Shb,0.11884988,0.219397442
Trip6,0.118937732,0.219535975
Lipg,0.119034762,0.219691418
Numbl,0.119138579,0.219859351
Sap30bp,0.119441214,0.220394111
Gzmf,0.119501357,0.220481354
Gapdhs,0.119601912,0.220643131
Mfsd2a,0.119674009,0.220728628
Dvl1,0.119668567,0.220728628
Pdgfa,0.11985074,0.221030811
Snhg11,0.119883437,0.221067327
Pdlim1,0.119945497,0.221157977
Tmem25,0.120074018,0.221371135
Gm15243,0.120114081,0.221421182
Noc2l,0.120319754,0.221776476
Ccna1,0.120414776,0.221903901
Nek9,0.120408709,0.221903901
Snhg4,0.120647335,0.222308569
Sema6d,0.120675678,0.222336895
Hmgxb4,0.120780544,0.222506189
Prox2,0.120819611,0.222554241
Qrich1,0.120838138,0.222564452
Mcm6,0.120852889,0.222567709
Pex12,0.121055297,0.222912974
Aggf1,0.121066374,0.222912974
Dmtn,0.121153028,0.223048567
Exoc2,0.121206606,0.223123244
Gm4778,0.121256989,0.223192022
Mccc1os,0.121363945,0.223364907
Pdk1,0.121407383,0.223420866
Gm14019,0.121538854,0.223638798
Rrm1,0.121856033,0.224182386
1700021F05Rik,0.121860429,0.224182386
Pcdh7,0.12196467,0.224350077
Suco,0.122004741,0.224375632
As3mt,0.122002781,0.224375632
Cdk2,0.12206745,0.224466878
RP24-272N10.3,0.122081165,0.224468017
Enpp5,0.122205905,0.224673277
Rabep1,0.122268396,0.224764059
Trhr,0.122285709,0.224771781
Dnajb4,0.122374796,0.224911413
Wdr31,0.122460979,0.225045679
Dnph1,0.122578369,0.22523726
Slc34a3,0.122650078,0.225272436
Phpt1,0.122625626,0.225272436
Atp11b,0.122626547,0.225272436
Csta1,0.122637114,0.225272436
Ier5,0.122830383,0.225579433
Rsbn1l,0.122855694,0.225601746
Filip1l,0.122962302,0.225773328
Pcgf6,0.123187764,0.226163077
Fezf1,0.123514521,0.226738694
9330159N05Rik,0.123541813,0.22676451
Cpsf1,0.123678985,0.226991988
Gm26708,0.123775344,0.227144519
Dut,0.123802682,0.227170368
Thyn1,0.123862706,0.227256181
Cfap97,0.123876059,0.227256357
Srrt,0.123914628,0.227302787
Dsg2,0.123947405,0.227338585
Dym,0.123998024,0.227407096
Cars2,0.124098689,0.227567365
Thap11,0.1241399,0.227596636
Slc2a13,0.124141205,0.227596636
B930036N10Rik,0.124433038,0.228082885
Usp32,0.124428782,0.228082885
Crnkl1,0.12449864,0.228178732
Paip2b,0.124517006,0.228187996
Traf3ip3,0.124652812,0.228363633
Zfp871,0.124648564,0.228363633
Cchcr1,0.124630238,0.228363633
