Gene,pval,qval
Rasl10b,0.000227356,0.000861672
Klk12,0.000228169,0.000864562
Eno3,0.00022823,0.000864602
Spin4,0.000228467,0.000865306
Hsf5,0.000228809,0.000866411
A730017L22Rik,0.00023017,0.000871374
Fgf20,0.000231142,0.00087486
AC102860.3,0.00023126,0.000875113
Rtn4r,0.000231878,0.000877258
Tmem184a,0.000232144,0.000877906
2810029C07Rik,0.000232152,0.000877906
Tmem171,0.000232432,0.000878771
Cd8a,0.000232623,0.000879298
Mpped2,0.000233115,0.000880963
1810032O08Rik,0.000233425,0.000881942
Trim14,0.000233951,0.000883736
Pola1,0.000235035,0.000887635
Sox18,0.000235613,0.00088949
Aldh1a1,0.00023563,0.00088949
Smc1b,0.00023728,0.000895522
Slc16a4,0.000237337,0.000895537
C1ql2,0.000237531,0.000896072
Prkag2os2,0.000237902,0.000897276
0610009E02Rik,0.000238082,0.000897569
Tdpoz1,0.000238085,0.000897569
Gm5093,0.000238505,0.000898955
Frs3,0.000238842,0.000900028
Kctd13,0.000239961,0.000904045
Gimap6,0.000240206,0.000904769
1700007J10Rik,0.000240497,0.000905668
Socs1,0.000240753,0.000906434
Tnfsf10,0.000241286,0.000908241
Hdac8,0.000241457,0.000908684
Tmem136,0.000243341,0.000915572
Gja5,0.000244006,0.000917873
Zcchc2,0.00024606,0.000925397
G630016G05Rik,0.000246203,0.000925733
Plvap,0.000246361,0.000926121
Gm11544,0.000247819,0.000931398
1700101I11Rik,0.000248553,0.000933952
Adamts2,0.000249195,0.00093616
Zfp217,0.000249428,0.000936791
Jmjd4,0.000249472,0.000936791
Mast2,0.000249772,0.00093771
Gaa,0.000249894,0.000937966
Hnmt,0.000250054,0.000938359
Mettl8,0.000250516,0.000939889
Gm1976,0.000253321,0.000949994
Rab27b,0.000253275,0.000949994
Accs,0.000253881,0.000951887
BC106179,0.00025402,0.0009522
Tmem213,0.000255443,0.000957325
Plxdc2,0.000255871,0.00095872
Tnfsf15,0.000256152,0.000959563
Zbtb48,0.000256289,0.000959864
2310047M10Rik,0.000257172,0.000962963
